Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,day,week,month,year
2014-01-02,37.16,37.35,37.4,37.1,30.64,-0.67,2,1,1,2014
2014-01-03,36.91,37.2,37.22,36.6,31.13,-0.67,3,1,1,2014
2014-01-06,36.13,36.85,36.89,36.11,43.62,-2.11,6,2,1,2014
2014-01-07,36.41,36.33,36.49,36.21,35.92,0.77,7,2,1,2014
2014-01-08,35.76,36.0,36.14,35.58,59.98,-1.79,8,2,1,2014
2014-01-09,35.53,35.88,35.91,35.4,36.52,-0.64,9,2,1,2014
2014-01-10,36.04,35.9,36.15,35.75,40.56,1.44,10,2,1,2014
2014-01-13,34.98,35.99,36.02,34.83,45.92,-2.94,13,3,1,2014
2014-01-14,35.78,34.73,35.88,34.63,41.63,2.29,14,3,1,2014
2014-01-15,36.76,35.9,36.79,35.85,44.91,2.74,15,3,1,2014
2014-01-16,36.89,36.69,37.0,36.31,38.04,0.35,16,3,1,2014
2014-01-17,36.38,36.83,36.83,36.15,46.3,-1.38,17,3,1,2014
2014-01-21,36.17,36.82,36.82,36.06,31.58,-0.58,21,4,1,2014
2014-01-22,35.93,36.26,36.32,35.75,21.97,-0.66,22,4,1,2014
2014-01-23,36.05,36.09,36.13,35.52,44.52,0.33,23,4,1,2014
2014-01-24,36.8,37.45,37.55,36.53,77.05,2.08,24,4,1,2014
2014-01-27,36.03,36.87,36.89,35.98,44.49,-2.09,27,5,1,2014
2014-01-28,36.27,36.12,36.39,35.75,36.23,0.67,28,5,1,2014
2014-01-29,36.66,35.98,36.88,35.9,52.79,1.08,29,5,1,2014
2014-01-30,36.86,36.79,36.88,36.23,35.11,0.55,30,5,1,2014
2014-01-31,37.84,36.95,37.89,36.56,93.19,2.66,31,5,1,2014
2014-02-03,36.48,37.74,37.98,36.43,64.1,-3.59,3,6,2,2014
2014-02-04,36.35,36.97,37.19,36.25,55.53,-0.36,4,6,2,2014
2014-02-05,35.82,36.29,36.47,35.8,55.84,-1.46,5,6,2,2014
2014-02-06,36.18,35.8,36.25,35.69,35.38,1.01,6,6,2,2014
2014-02-07,36.56,36.32,36.59,36.01,33.35,1.05,7,6,2,2014
2014-02-10,36.8,36.63,36.8,36.29,26.78,0.66,10,7,2,2014
2014-02-11,37.17,36.88,37.26,36.86,32.16,1.01,11,7,2,2014
2014-02-12,37.47,37.35,37.6,37.3,27.06,0.81,12,7,2,2014
2014-02-13,37.61,37.33,37.86,37.33,37.65,0.37,13,7,2,2014
2014-02-14,37.62,37.39,37.78,37.33,42.99,0.03,14,7,2,2014
2014-02-18,37.42,37.63,37.78,37.41,32.84,-0.53,18,8,2,2014
2014-02-19,37.51,37.22,37.75,37.21,29.79,0.24,19,8,2,2014
2014-02-20,37.75,37.57,37.87,37.4,27.54,0.64,20,8,2,2014
2014-02-21,37.98,37.94,38.35,37.86,38.03,0.61,21,8,2,2014
2014-02-24,37.69,37.69,37.98,37.54,32.14,-0.76,24,9,2,2014
2014-02-25,37.54,37.61,37.85,37.35,30.87,-0.4,25,9,2,2014
2014-02-26,37.47,37.58,37.74,37.19,41.04,-0.19,26,9,2,2014
2014-02-27,37.86,37.45,37.89,37.23,33.92,1.04,27,9,2,2014
2014-02-28,38.31,37.98,38.46,37.82,41.22,1.19,28,9,2,2014
2014-03-03,37.78,37.92,38.13,37.49,29.73,-1.38,3,10,3,2014
2014-03-04,38.41,38.2,38.48,38.07,26.87,1.67,4,10,3,2014
2014-03-05,38.11,38.25,38.27,37.93,20.52,-0.78,5,10,3,2014
2014-03-06,38.15,38.14,38.24,37.89,23.61,0.1,6,10,3,2014
2014-03-07,37.9,38.28,38.36,37.69,26.6,-0.66,7,10,3,2014
2014-03-10,37.82,37.99,38.01,37.72,19.01,-0.21,10,11,3,2014
2014-03-11,38.02,37.87,38.23,37.72,25.22,0.53,11,11,3,2014
2014-03-12,38.27,37.8,38.43,37.79,30.5,0.66,12,11,3,2014
2014-03-13,37.89,38.42,38.45,37.64,32.17,-0.99,13,11,3,2014
2014-03-14,37.7,37.65,38.13,37.51,27.2,-0.5,14,11,3,2014
2014-03-17,38.05,37.9,38.41,37.79,20.48,0.93,17,12,3,2014
2014-03-18,39.55,38.26,39.9,38.22,64.06,3.94,18,12,3,2014
2014-03-19,39.27,39.47,39.55,38.91,35.6,-0.71,19,12,3,2014
2014-03-20,40.33,39.25,40.65,39.24,59.27,2.7,20,12,3,2014
2014-03-21,40.16,40.72,40.94,40.01,80.73,-0.42,21,12,3,2014
2014-03-24,40.5,40.34,40.64,39.86,46.1,0.85,24,13,3,2014
2014-03-25,40.34,40.66,40.99,39.96,43.19,-0.4,25,13,3,2014
2014-03-26,39.79,40.48,40.7,39.6,41.98,-1.36,26,13,3,2014
2014-03-27,39.36,39.74,39.97,39.34,35.37,-1.08,27,13,3,2014
2014-03-28,40.3,39.79,40.63,39.68,43.47,2.39,28,13,3,2014
2014-03-31,40.99,40.43,41.5,40.4,46.89,1.71,31,14,3,2014
2014-04-01,41.42,41.15,41.59,41.07,32.61,1.05,1,14,4,2014
2014-04-02,41.35,41.44,41.66,41.17,28.67,-0.17,2,14,4,2014
2014-04-03,41.01,41.29,41.29,40.71,30.14,-0.82,3,14,4,2014
2014-04-04,39.87,41.25,41.39,39.64,51.41,-2.78,4,14,4,2014
2014-04-07,39.8,39.96,40.27,39.74,37.56,-0.18,7,15,4,2014
2014-04-08,39.82,39.75,39.93,39.2,35.92,0.05,8,15,4,2014
2014-04-09,40.47,39.93,40.55,39.88,27.4,1.63,9,15,4,2014
2014-04-10,39.36,40.44,40.69,39.09,45.96,-2.74,10,15,4,2014
2014-04-11,39.21,39.0,39.79,39.0,34.33,-0.38,11,15,4,2014
2014-04-14,39.18,39.11,39.41,38.9,32.01,-0.08,14,16,4,2014
2014-04-15,39.75,39.34,39.96,39.05,33.98,1.45,15,16,4,2014
2014-04-16,40.4,40.06,40.41,39.91,30.62,1.64,16,16,4,2014
2014-04-17,40.01,40.01,40.2,39.51,36.69,-0.97,17,16,4,2014
2014-04-21,39.94,40.13,40.15,39.79,22.22,-0.17,21,17,4,2014
2014-04-22,39.99,39.96,40.14,39.83,27.06,0.13,22,17,4,2014
2014-04-23,39.69,39.99,39.99,39.47,24.6,-0.75,23,17,4,2014
2014-04-24,39.86,39.74,39.97,39.3,42.38,0.43,24,17,4,2014
2014-04-25,39.91,40.29,40.68,39.75,56.88,0.13,25,17,4,2014
2014-04-28,40.87,40.14,41.29,40.09,50.61,2.41,28,18,4,2014
2014-04-29,40.51,41.1,41.19,40.39,29.64,-0.88,29,18,4,2014
2014-04-30,40.4,40.4,40.5,40.17,35.46,-0.27,30,18,4,2014
2014-05-01,40.0,40.24,40.36,39.95,28.79,-0.99,1,18,5,2014
2014-05-02,39.69,40.31,40.34,39.66,43.42,-0.78,2,18,5,2014
2014-05-05,39.43,39.52,39.64,39.3,22.46,-0.66,5,19,5,2014
2014-05-06,39.06,39.29,39.35,38.95,27.11,-0.94,6,19,5,2014
2014-05-07,39.42,39.22,39.51,38.51,41.75,0.92,7,19,5,2014
2014-05-08,39.64,39.34,39.9,38.97,32.12,0.56,8,19,5,2014
2014-05-09,39.54,39.54,39.85,39.37,29.65,-0.25,9,19,5,2014
2014-05-12,39.97,39.74,40.02,39.65,22.79,1.09,12,20,5,2014
2014-05-13,40.42,39.92,40.5,39.85,27.0,1.13,13,20,5,2014
2014-05-14,40.24,40.3,40.45,40.05,18.82,-0.45,14,20,5,2014
2014-05-15,39.6,40.09,40.4,39.51,37.79,-1.59,15,20,5,2014
2014-05-16,39.83,39.67,39.84,39.27,29.87,0.58,16,20,5,2014
2014-05-19,39.75,39.61,39.82,39.46,24.54,-0.2,19,21,5,2014
2014-05-20,39.68,39.68,39.94,39.46,21.32,-0.18,20,21,5,2014
2014-05-21,40.35,39.8,40.35,39.74,22.4,1.69,21,21,5,2014
2014-05-22,40.1,40.29,40.35,39.85,20.2,-0.62,22,21,5,2014
2014-05-23,40.12,40.37,40.37,40.0,18.02,0.05,23,21,5,2014
2014-05-27,40.19,40.26,40.26,39.81,26.16,0.17,27,22,5,2014
2014-05-28,40.01,40.14,40.19,39.82,25.71,-0.45,28,22,5,2014
2014-05-29,40.34,40.15,40.35,39.91,19.89,0.82,29,22,5,2014
2014-05-30,40.94,40.45,40.97,40.25,34.58,1.49,30,22,5,2014
